datetime,desc,type,category,amount,balance
01/07/2026 11:41:22,SETTLEMENT GOPAY REF-394846,CR,income,5926278,80926278
01/07/2026 13:52:37,SETTLEMENT TOKOPEDIA REF-599991,CR,income,2483294,88777476
01/07/2026 17:26:44,PEMBAYARAN IRA HABIBI,CR,income,5367904,86294182
02/07/2026 10:52:30,PEMBAYARAN AMI AGUSTINA,CR,income,3727390,98919595
02/07/2026 15:56:25,SETTLEMENT TOKOPEDIA REF-780821,CR,income,4449293,93226769
02/07/2026 16:58:53,SETTLEMENT SHOPEEPAY REF-990254,CR,income,3626465,96853234
02/07/2026 17:00:22,TF KE UD PD JAILANI ZULAIKA MANDIRI REF-597136,DB,capex,2398520,94454714
02/07/2026 21:03:46,SETTLEMENT TOKOPEDIA REF-127168,CR,income,737491,95192205
03/07/2026 08:41:13,TF KE CV PD WALUYO WIJAYA (PERSERO) TBK BCA REF-300206,DB,capex,2724298,102392330
03/07/2026 13:31:33,PEMBAYARAN CAKRAWALA WINARNO,CR,income,7926908,105325400
03/07/2026 16:13:15,Pembelian Gula Aren REF-828564,DB,opex,1521103,97398492
03/07/2026 17:51:11,Pembelian Cup Plastik REF-642072,DB,opex,208772,105116628
